Date,BBCA.JK,TLKM.JK
2023-01-02,8342.64453125,3646.5361328125
2023-01-03,8342.64453125,3704.113037109375
2023-01-04,8147.49560546875,3665.728271484375
2023-01-05,8049.9208984375,3617.74755859375
2023-01-06,8098.7080078125,3560.170654296875
2023-01-09,8245.0693359375,3636.93994140625
2023-01-10,7976.7392578125,3675.324462890625
2023-01-11,7927.9521484375,3713.708984375
2023-01-12,7976.7392578125,3704.113037109375
2023-01-13,7854.77099609375,3627.34375
2023-01-16,7952.345703125,3694.516845703125
2023-01-17,8123.1015625,3790.478271484375
2023-01-18,8098.7080078125,3771.285888671875
2023-01-19,8123.1015625,3732.9013671875
2023-01-20,8098.7080078125,3713.708984375
2023-01-24,8025.52685546875,3694.516845703125
2023-01-25,8001.13330078125,3684.920654296875
2023-01-26,8269.4638671875,3809.670654296875
2023-01-27,8489.0078125,3800.074462890625
2023-01-30,8489.0078125,3800.074462890625
2023-01-31,8269.4638671875,3694.516845703125
2023-02-01,8293.857421875,3713.708984375
2023-02-02,8245.0693359375,3732.9013671875
2023-02-03,8489.0078125,3723.30517578125
2023-02-06,8513.400390625,3723.30517578125
2023-02-07,8635.369140625,3646.5361328125
2023-02-08,8610.9755859375,3684.920654296875
2023-02-09,8684.15625,3617.74755859375
2023-02-10,8610.9755859375,3646.5361328125
2023-02-13,8659.763671875,3636.93994140625
2023-02-14,8732.9443359375,3646.5361328125
2023-02-15,8659.763671875,3636.93994140625
2023-02-16,8489.0078125,3617.74755859375
2023-02-17,8513.400390625,3608.1513671875
2023-02-20,8537.794921875,3665.728271484375
2023-02-21,8489.0078125,3684.920654296875
2023-02-22,8464.61328125,3704.113037109375
2023-02-23,8513.400390625,3809.670654296875
2023-02-24,8464.61328125,3876.843505859375
2023-02-27,8562.1884765625,3800.074462890625
2023-02-28,8537.794921875,3723.30517578125
2023-03-01,8391.4326171875,3771.285888671875
2023-03-02,8415.826171875,3723.30517578125
2023-03-03,8269.4638671875,3742.49755859375
2023-03-06,8196.283203125,3723.30517578125
2023-03-07,8220.6767578125,3723.30517578125
2023-03-08,8367.0390625,3780.882080078125
2023-03-09,8367.0390625,3809.670654296875
2023-03-10,8245.0693359375,3848.05517578125
2023-03-13,8342.64453125,3905.632080078125
2023-03-14,8123.1015625,3857.6513671875
